Tên sản phẩm,CPU,RAM,SSD,VGA/GPU,Loại Card,Màn hình,Trọng lượng,Giá gốc,Giá hiện tại,Mức giảm,% Giảm giá,URL
Laptop Lenovo IdeaPad Slim 3 14ARP10 - 83K600E6VN,N/A,16GB,512GB,Onboard,Card Onboard,N/A,N/A,19490000,19490000,0,0%,https://phongvu.vn/laptop-lenovo-ideapad-slim-3-14arp10-83k600e6vn--s260407219
Laptop Lenovo Ideapad Slim 5 14AGP11 - 83S1003GVN,N/A,32GB,1TB,Onboard,Card Onboard,N/A,N/A,42990000,42990000,0,0%,https://phongvu.vn/laptop-lenovo-ideapad-slim-5-14agp11-83s1003gvn--s260404927
Laptop Lenovo Ideapad Slim 3 16ARP10 - 83K800GTVN,R5 7535HS,16GB,512GB,Onboard,Card Onboard,N/A,N/A,22990000,22990000,0,0%,https://phongvu.vn/laptop-lenovo-ideapad-slim-3-16arp10-83k800gtvn--s260404925
Laptop Lenovo Yoga Slim 7 14AGP11 - 83QS001DVN,N/A,16GB,512GB,Radeon,Card Onboard,N/A,N/A,37990000,37990000,0,0%,https://phongvu.vn/laptop-lenovo-yoga-slim-7-14agp11-83qs001dvn--s260404920
Laptop Msi Cyborg 15 Black Edition A13VE-2410VN,i5-13420H,16GB,512GB,Onboard,Card Onboard,N/A,N/A,31990000,31990000,0,0%,https://phongvu.vn/laptop-msi-cyborg-15-black-edition-a13ve-2410vn--s260404916
Laptop Lenovo ThinkPad X13 Gen 6 - 21RK00ASVN,Ultra 5-225H,32GB,1TB,Onboard,Card Onboard,N/A,N/A,45390000,45390000,0,0%,https://phongvu.vn/laptop-lenovo-thinkpad-x13-gen-6-21rk00asvn--s260404911
Laptop Lenovo ThinkPad X13 Gen 6 - 21RK00ARVN,Ultra 5-225H,32GB,512GB,Onboard,Card Onboard,N/A,N/A,43190000,43190000,0,0%,https://phongvu.vn/laptop-lenovo-thinkpad-x13-gen-6-21rk00arvn--s260404903
Laptop Dell 15 DC15250 - i7U161W11SLU-27,i7U161W11SLU,16GB,1TB,Onboard,Card Onboard,N/A,N/A,28290000,28290000,0,0%,https://phongvu.vn/laptop-dell-dc15250-i7u161w11slu-27--s260402938
Laptop Dell 15 DC15250 - i5U165W11SLU-27,i5U165W11SLU,16GB,512GB,Onboard,Card Onboard,N/A,N/A,22490000,22490000,0,0%,https://phongvu.vn/laptop-dell-dc15250-i5u165w11slu-27--s260402929
Laptop Asus ExpertBook P1503CVA-S72922W,Core 5 210H,16GB,512GB,Onboard,Card Onboard,N/A,N/A,22990000,22990000,0,0%,https://phongvu.vn/laptop-asus-expertbook-p1503cva-s72922w--s260400568
Laptop Dell 16 DC16250 - 71092481,Core 5 120U,16GB,1TB,Onboard,Card Onboard,N/A,N/A,28990000,28990000,0,0%,https://phongvu.vn/laptop-dell-16-dc16250-71092481--s260305688
Laptop Dell 15 DC15250 - 71092479,i5-1334U,16GB,512GB,Onboard,Card Onboard,N/A,N/A,22990000,20490000,2500000,10.9%,https://phongvu.vn/laptop-dell-15-dc15250-71092479--s260305689?selectPromotionId=2259736
Laptop Dell 15 DC15250 - 71092480,i7-1355U,16GB,512GB,Onboard,Card Onboard,N/A,N/A,25990000,23290000,2700000,10.4%,https://phongvu.vn/laptop-dell-15-dc15250-71092480--s260305690?selectPromotionId=2259737
Laptop Dell 15 DC15250-DC5I7952W1,i7-1355U,16GB,512GB,Onboard,Card Onboard,N/A,N/A,25490000,23990000,1500000,5.9%,https://phongvu.vn/laptop-dell-15-dc15250-dc5i7952w1--s260305673
Laptop Lenovo IdeaPad Slim 5 14IMH10 - 83V6001GVN,Ultra 5-135H,16GB,512GB,Onboard,Card Onboard,N/A,N/A,29990000,24490000,5500000,18.3%,https://phongvu.vn/laptop-lenovo-ideapad-slim-5-14imh10-83v6001gvn--s260305647?selectPromotionId=2400947
Laptop Asus ROG Zephyrus G14 GA403GM-SY004W,N/A,32GB,1TB,Onboard,Card Onboard,N/A,N/A,65990000,65990000,0,0%,https://phongvu.vn/laptop-asus-rog-zephyrus-g14-ga403gm-sy004w--s260305641
Laptop HP 250R G10 - C3SH7AT,Core 5 120U,16GB,512GB,Onboard,Card Onboard,N/A,N/A,23990000,21990000,2000000,8.3%,https://phongvu.vn/laptop-hp-250r-g10-c3sh7at--s260305528?selectPromotionId=2337922
Laptop Lenovo ThinkPad X13 Gen 6,Ultra 5-225H,32GB,512GB,Onboard,Card Onboard,N/A,N/A,44990000,42990000,2000000,4.4%,https://phongvu.vn/laptop-lenovo-thinkpad-x13-gen-6--s260305320
Laptop Lenovo LOQ 15IRX10 - 83JE01AGVN,i7-13650HX,16GB,512GB,Onboard,Card Onboard,N/A,N/A,42490000,36990000,5500000,12.9%,https://phongvu.vn/laptop-lenovo-loq-15irx10-83je01agvn--s260304423?selectPromotionId=2313419
Laptop Lenovo ThinkPad E14 Gen 7 - 21SX00BNVN,Ultra 5-135H,16GB,512GB,Onboard,Card Onboard,N/A,N/A,31490000,23990000,7500000,23.8%,https://phongvu.vn/laptop-lenovo-thinkpad-e14-gen-7-21sx00bnvn--s260304282?selectPromotionId=2396567
Laptop Lenovo V14 G5 IRL - 83HD005JVN,i5-13420H,16GB,512GB,Onboard,Card Onboard,N/A,N/A,25390000,18190000,7200000,28.4%,https://phongvu.vn/laptop-lenovo-v14-g5-irl-83hd005jvn--s260304104
Laptop Lenovo Thinkpad X9-14 Gen 1 - 21QA006FVN,Ultra 5-228V,32GB,512GB,Onboard,Card Onboard,N/A,N/A,48990000,48990000,0,0%,https://phongvu.vn/laptop-lenovo-thinkpad-x9-14-gen-1-21qa006fvn--s260304103
Laptop HP ProBook 4 G1i - BQ5C7PT,Ultra 7-255U,16GB,512GB,Onboard,Card Onboard,N/A,N/A,35490000,33990000,1500000,4.2%,https://phongvu.vn/laptop-hp-probook-4-g1i-bq5c7pt--s260303867
Laptop HP Elitebook 640 G11 - A7LB4PT,Ultra 7-165U,16GB,512GB,Onboard,Card Onboard,N/A,N/A,36090000,34490000,1600000,4.4%,https://phongvu.vn/laptop-hp-elitebook-640-g11-a7lb4pt--s260303868
Laptop Msi Prestige 14 Flip AI+ D3MTG-021VN,Ultra 9-386H,32GB,1TB,Onboard,Card Onboard,N/A,N/A,54990000,54990000,0,0%,https://phongvu.vn/laptop-msi-prestige-14-flip-ai-d3mtg-021vn--s260303603
Laptop Msi Prestige 14 AI+ D3MG-022VN,Ultra 7-355,32GB,1TB,Onboard,Card Onboard,N/A,N/A,48990000,48990000,0,0%,https://phongvu.vn/laptop-msi-prestige-14-ai-d3mg-022vn--s260303605
